drop_file,min_distance_km,max_distance_km,note
D20230827_015606_PQC.nc,1827.07,1828.60,
D20230827_142001_PQC.nc,1000.65,1001.74,
D20230827_143356_PQC.nc,891.42,892.97,
D20230827_144906_PQC.nc,802.89,805.09,
D20230827_151447_PQC.nc,613.45,613.55,
D20230827_152920_PQC.nc,642.85,644.19,
D20230827_154017_PQC.nc,721.35,724.15,
D20230827_155232_PQC.nc,794.09,796.29,
D20230827_160220_PQC.nc,860.64,863.12,
D20230827_161812_PQC.nc,955.75,958.06,
D20230827_164803_PQC.nc,705.31,707.53,
D20230827_174038_PQC.nc,227.92,231.14,
D20230827_175156_PQC.nc,237.26,241.76,
D20230827_180257_PQC.nc,321.55,323.78,
D20230827_181353_PQC.nc,426.89,427.91,
D20230827_182435_PQC.nc,389.13,394.93,
D20230827_183158_PQC.nc,281.96,286.81,
D20230827_184159_PQC.nc,141.66,143.97,
D20230827_185202_PQC.nc,55.97,59.70,
D20230827_190150_PQC.nc,157.76,160.24,
D20230827_191252_PQC.nc,181.30,183.58,
D20230827_192424_PQC.nc,111.24,113.45,
D20230827_193644_PQC.nc,173.02,177.51,
D20230827_194932_PQC.nc,309.26,314.32,
D20230827_200056_PQC.nc,441.71,446.48,
D20230827_201203_PQC.nc,498.78,502.14,
D20230827_202148_PQC.nc,397.17,400.18,
D20230827_203222_PQC.nc,308.03,310.77,
D20230827_204845_PQC.nc,302.36,303.42,
D20230827_205852_PQC.nc,387.34,387.42,
D20230827_211126_PQC.nc,408.17,411.32,
D20230827_212646_PQC.nc,517.79,521.66,
D20230827_213804_PQC.nc,660.73,664.22,
D20230827_220640_PQC.nc,503.63,505.10,
D20230827_221603_PQC.nc,612.97,615.19,
D20230827_222528_PQC.nc,727.40,731.69,
D20230827_223123_PQC.nc,776.71,783.47,
D20230827_223653_PQC.nc,827.36,833.80,
D20230827_224313_PQC.nc,878.28,886.34,
D20230827_225009_PQC.nc,806.31,812.57,
D20230827_225532_PQC.nc,746.31,752.23,
D20230827_232545_PQC.nc,425.59,429.22,
D20230828_064645_PQC.nc,241.03,243.02,
D20230828_065726_PQC.nc,224.12,228.83,
D20230828_070833_PQC.nc,287.88,289.99,
D20230828_071925_PQC.nc,388.39,391.52,
D20230828_073420_PQC.nc,445.51,447.04,
D20230828_074226_PQC.nc,333.87,336.45,
D20230828_075258_PQC.nc,189.72,191.62,
D20230828_080324_PQC.nc,64.28,69.03,
D20230828_081323_PQC.nc,110.74,114.70,
D20230828_082444_PQC.nc,142.67,145.02,
D20230828_083606_PQC.nc,114.64,118.74,
D20230828_084804_PQC.nc,213.70,218.27,
D20230828_090001_PQC.nc,352.51,355.54,
D20230828_091119_PQC.nc,493.71,495.97,
D20230828_092219_PQC.nc,560.18,562.79,
D20230828_093409_PQC.nc,646.54,648.84,
D20230828_094358_PQC.nc,555.43,558.45,
D20230828_095504_PQC.nc,431.78,434.79,
D20230828_100227_PQC.nc,343.21,346.52,
D20230828_101656_PQC.nc,490.29,493.17,
D20230828_102430_PQC.nc,428.16,429.77,
D20230828_103303_PQC.nc,461.89,465.18,
D20230828_104514_PQC.nc,605.16,615.49,
D20230828_105305_PQC.nc,690.80,699.70,
D20230828_110054_PQC.nc,779.62,788.42,
D20230828_110851_PQC.nc,837.83,853.09,
D20230828_112159_PQC.nc,698.99,708.13,
D20230828_113408_PQC.nc,544.18,546.16,
D20230828_114336_PQC.nc,424.93,430.63,
D20230828_114629_PQC.nc,645.34,646.45,
D20230828_115227_PQC.nc,338.46,344.35,
D20230828_115721_PQC.nc,737.55,738.66,
D20230828_120129_PQC.nc,247.29,252.85,
D20230828_120957_PQC.nc,838.20,839.58,
D20230828_121214_PQC.nc,280.33,284.40,
D20230828_122119_PQC.nc,922.11,925.80,
D20230828_125150_PQC.nc,794.64,801.12,
D20230828_130354_PQC.nc,730.40,738.17,
D20230828_131212_PQC.nc,708.00,713.60,
D20230828_131646_PQC.nc,700.12,701.31,
D20230828_135120_PQC.nc,701.12,708.90,
D20230828_140317_PQC.nc,663.80,667.43,
D20230828_143843_PQC.nc,768.04,770.04,
D20230828_144730_PQC.nc,723.40,726.38,
D20230828_145236_PQC.nc,697.09,697.16,
D20230828_145557_PQC.nc,674.89,681.46,
D20230828_150253_PQC.nc,647.56,654.28,
D20230828_151326_PQC.nc,611.82,617.61,
D20230828_174516_PQC.nc,225.78,230.32,
D20230828_175620_PQC.nc,237.26,241.76,
D20230828_180718_PQC.nc,320.01,322.26,
D20230828_181820_PQC.nc,435.15,438.45,
D20230828_183413_PQC.nc,505.06,507.23,
D20230828_184352_PQC.nc,370.21,372.59,
D20230828_185322_PQC.nc,235.10,239.43,
D20230828_190343_PQC.nc,98.71,100.96,
D20230828_191339_PQC.nc,67.14,75.99,
D20230828_192613_PQC.nc,124.06,129.38,
D20230828_194824_PQC.nc,262.29,264.29,
D20230828_195618_PQC.nc,157.02,161.05,
D20230828_200704_PQC.nc,259.96,262.15,
D20230828_201856_PQC.nc,400.17,402.08,
D20230828_203002_PQC.nc,537.24,539.18,
D20230828_204312_PQC.nc,602.35,605.50,
D20230828_210028_PQC.nc,433.42,437.26,
D20230828_211000_PQC.nc,554.43,558.50,
D20230828_212346_PQC.nc,686.02,688.93,
D20230828_213316_PQC.nc,769.80,771.71,
D20230828_214154_PQC.nc,397.24,398.34,
D20230828_214400_PQC.nc,686.99,691.99,
D20230828_215436_PQC.nc,495.03,496.13,
D20230828_215510_PQC.nc,579.19,585.70,
D20230828_220522_PQC.nc,500.68,505.10,
D20230828_221038_PQC.nc,613.93,614.10,
D20230828_221511_PQC.nc,457.34,464.17,
D20230828_222759_PQC.nc,603.56,619.15,
D20230828_223156_PQC.nc,654.71,669.80,
D20230828_225214_PQC.nc,813.62,819.26,
D20230828_225717_PQC.nc,879.12,884.45,
D20230828_230558_PQC.nc,692.73,698.08,
D20230828_230648_PQC.nc,885.42,892.22,
D20230828_231908_PQC.nc,643.08,648.64,
D20230828_232406_PQC.nc,626.56,632.22,
D20230828_232751_PQC.nc,721.29,734.50,
D20230828_232918_PQC.nc,608.23,609.42,
D20230828_234236_PQC.nc,573.34,575.74,
D20230828_235138_PQC.nc,418.25,430.06,
D20230828_235352_PQC.nc,556.15,558.60,
D20230829_000047_PQC.nc,306.54,317.32,
D20230829_001038_PQC.nc,224.85,231.74,
D20230829_001520_PQC.nc,693.03,694.95,
D20230829_003348_PQC.nc,600.39,601.57,
